"#1;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;;;;;;
"#20 profiles with 5.0 to 6.8 MWh/a. Source: Hochschule für Technik und Wirtschaft HTW Berlin: ""Repräsentative elektrische Lastprofile für Einfamilienhäuser in Deutschland auf 1-seküdiger Datenbasis"", Datensatz, Berlin, 2015. - DOI 10.13140/RG.2.1.5112.0080";;;;;;;;;;;;;;;;;;;;
"double default(8760,21);;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;;;;;;;
0;132.550;1122.600;1492.267;590.000;411.333;715.217;344.867;542.283;1082.550;555.600;244.233;327.267;497.283;1210.950;203.600;235.533;60.100;297.950;307.800;533.967
3600;524.900;748.933;998.950;1568.850;346.000;1398.283;344.633;548.167;754.883;434.900;241.417;304.500;613.250;929.783;222.967;240.767;168.533;294.383;318.167;546.800
7200;569.650;121.767;958.067;1102.533;271.200;632.750;412.067;825.883;599.433;259.183;287.117;330.650;651.067;282.017;179.533;217.617;486.800;296.950;314.350;236.400
10800;353.617;56.217;609.300;522.633;125.833;354.350;319.850;789.300;517.083;216.950;244.800;310.600;714.833;235.517;1034.400;254.583;479.083;292.983;308.317;311.467
14400;296.267;63.217;182.083;223.800;136.383;349.617;395.567;172.200;430.883;229.733;234.333;308.333;573.133;252.817;228.483;213.083;428.450;267.850;313.567;279.550
18000;532.483;85.200;299.150;189.883;218.783;396.317;340.383;258.833;421.300;218.367;281.350;309.283;641.150;470.517;182.350;268.783;529.667;287.133;301.767;260.950
21600;451.150;50.083;513.283;166.917;113.700;385.633;325.750;336.717;332.783;254.267;261.800;337.650;514.183;552.900;178.083;240.900;455.067;283.817;325.117;309.483
25200;288.400;80.533;128.450;128.883;650.867;340.367;327.767;381.683;830.767;248.017;248.883;356.983;556.317;388.050;189.550;283.483;494.533;327.967;298.417;292.317
28800;233.717;78.283;115.767;332.733;1062.233;476.450;322.883;1090.367;832.500;319.950;277.233;719.383;550.800;501.567;362.933;237.117;425.817;355.433;313.067;612.617
32400;218.133;67.833;154.417;312.617;2194.267;1205.167;693.500;1163.633;564.450;1366.467;237.100;1147.817;590.017;593.600;354.183;264.167;448.533;298.767;288.383;538.417
36000;212.183;277.333;111.983;114.117;2227.367;393.300;1823.367;1903.117;400.167;333.800;248.983;2093.467;694.950;953.283;211.167;232.850;334.933;335.700;310.900;1982.483
39600;705.467;1462.517;211.017;322.883;2042.400;360.700;2590.167;1202.850;366.917;462.517;240.983;1513.833;594.633;1243.817;1109.883;330.333;459.767;328.200;319.400;1442.833
43200;1042.667;1567.783;1413.183;1026.600;931.500;2426.700;1971.767;1189.950;478.300;1068.733;234.683;614.133;696.967;264.900;280.867;475.833;420.300;325.633;335.783;2108.450
46800;1158.250;831.983;1935.400;942.700;1127.683;1922.817;1550.400;3605.950;1270.233;509.483;257.400;779.067;655.317;745.917;322.533;474.500;367.350;342.950;303.167;3156.767
50400;539.867;767.667;1259.300;494.633;1094.200;551.233;952.233;648.117;1288.750;487.767;243.233;741.083;686.233;621.967;633.867;750.200;450.033;346.833;288.500;864.233
54000;542.817;771.333;1002.467;1363.833;2017.300;520.233;866.350;2410.567;1185.550;443.633;224.400;852.133;564.533;539.500;1184.383;756.033;469.217;314.367;292.933;406.683
